 10

  0 71 11 29 82 82  6 71  8 77
 71  0 74 30 89 76 76 40 93 56
 11 74  0  1 50  4 36 27 85  2
 29 30  1  0  1 15 11 35 11 20
 82 89 50  1  0 21 61 80 58 21
 82 76  4 15 21  0 76 72 44 85
  6 76 36 11 61 76  0 94 90 51
 71 40 27 35 80 72 94  0  3 48
  8 93 85 11 58 44 90  3  0 29
 77 56  2 20 21 85 51 48 29  0

  0 21 95 82 56 41  6 25 10  4
 21  0 63  6 44 40 75 79  0 89
 95 63  0 35  9  1 85 84 12  0
 82  6 35  0 26 91 11 35 82 26
 56 44  9 26  0 69 56 86 45 91
 41 40  1 91 69  0 59 18 76 39
  6 75 85 11 56 59  0 18 57 36
 25 79 84 35 86 18 18  0 61 36
 10  0 12 82 45 76 57 61  0 21
  4 89  0 26 91 39 36 36 21  0
