40  
  0   1   2   3   4   5   6   7   1   2   3   4   5   6   7   8   2   3   4   5   6   7   8   9   3   4   5   6   7   8   9  10   4   5   6   7   8   9  10  11 
  1   0   1   2   3   4   5   6   2   1   2   3   4   5   6   7   3   2   3   4   5   6   7   8   4   3   4   5   6   7   8   9   5   4   5   6   7   8   9  10 
  2   1   0   1   2   3   4   5   3   2   1   2   3   4   5   6   4   3   2   3   4   5   6   7   5   4   3   4   5   6   7   8   6   5   4   5   6   7   8   9 
  3   2   1   0   1   2   3   4   4   3   2   1   2   3   4   5   5   4   3   2   3   4   5   6   6   5   4   3   4   5   6   7   7   6   5   4   5   6   7   8 
  4   3   2   1   0   1   2   3   5   4   3   2   1   2   3   4   6   5   4   3   2   3   4   5   7   6   5   4   3   4   5   6   8   7   6   5   4   5   6   7 
  5   4   3   2   1   0   1   2   6   5   4   3   2   1   2   3   7   6   5   4   3   2   3   4   8   7   6   5   4   3   4   5   9   8   7   6   5   4   5   6 
  6   5   4   3   2   1   0   1   7   6   5   4   3   2   1   2   8   7   6   5   4   3   2   3   9   8   7   6   5   4   3   4  10   9   8   7   6   5   4   5 
  7   6   5   4   3   2   1   0   8   7   6   5   4   3   2   1   9   8   7   6   5   4   3   2  10   9   8   7   6   5   4   3  11  10   9   8   7   6   5   4 
  1   2   3   4   5   6   7   8   0   1   2   3   4   5   6   7   1   2   3   4   5   6   7   8   2   3   4   5   6   7   8   9   3   4   5   6   7   8   9  10 
  2   1   2   3   4   5   6   7   1   0   1   2   3   4   5   6   2   1   2   3   4   5   6   7   3   2   3   4   5   6   7   8   4   3   4   5   6   7   8   9 
  3   2   1   2   3   4   5   6   2   1   0   1   2   3   4   5   3   2   1   2   3   4   5   6   4   3   2   3   4   5   6   7   5   4   3   4   5   6   7   8 
  4   3   2   1   2   3   4   5   3   2   1   0   1   2   3   4   4   3   2   1   2   3   4   5   5   4   3   2   3   4   5   6   6   5   4   3   4   5   6   7 
  5   4   3   2   1   2   3   4   4   3   2   1   0   1   2   3   5   4   3   2   1   2   3   4   6   5   4   3   2   3   4   5   7   6   5   4   3   4   5   6 
  6   5   4   3   2   1   2   3   5   4   3   2   1   0   1   2   6   5   4   3   2   1   2   3   7   6   5   4   3   2   3   4   8   7   6   5   4   3   4   5 
  7   6   5   4   3   2   1   2   6   5   4   3   2   1   0   1   7   6   5   4   3   2   1   2   8   7   6   5   4   3   2   3   9   8   7   6   5   4   3   4 
  8   7   6   5   4   3   2   1   7   6   5   4   3   2   1   0   8   7   6   5   4   3   2   1   9   8   7   6   5   4   3   2  10   9   8   7   6   5   4   3 
  2   3   4   5   6   7   8   9   1   2   3   4   5   6   7   8   0   1   2   3   4   5   6   7   1   2   3   4   5   6   7   8   2   3   4   5   6   7   8   9 
  3   2   3   4   5   6   7   8   2   1   2   3   4   5   6   7   1   0   1   2   3   4   5   6   2   1   2   3   4   5   6   7   3   2   3   4   5   6   7   8 
  4   3   2   3   4   5   6   7   3   2   1   2   3   4   5   6   2   1   0   1   2   3   4   5   3   2   1   2   3   4   5   6   4   3   2   3   4   5   6   7 
  5   4   3   2   3   4   5   6   4   3   2   1   2   3   4   5   3   2   1   0   1   2   3   4   4   3   2   1   2   3   4   5   5   4   3   2   3   4   5   6 
  6   5   4   3   2   3   4   5   5   4   3   2   1   2   3   4   4   3   2   1   0   1   2   3   5   4   3   2   1   2   3   4   6   5   4   3   2   3   4   5 
  7   6   5   4   3   2   3   4   6   5   4   3   2   1   2   3   5   4   3   2   1   0   1   2   6   5   4   3   2   1   2   3   7   6   5   4   3   2   3   4 
  8   7   6   5   4   3   2   3   7   6   5   4   3   2   1   2   6   5   4   3   2   1   0   1   7   6   5   4   3   2   1   2   8   7   6   5   4   3   2   3 
  9   8   7   6   5   4   3   2   8   7   6   5   4   3   2   1   7   6   5   4   3   2   1   0   8   7   6   5   4   3   2   1   9   8   7   6   5   4   3   2 
  3   4   5   6   7   8   9  10   2   3   4   5   6   7   8   9   1   2   3   4   5   6   7   8   0   1   2   3   4   5   6   7   1   2   3   4   5   6   7   8 
  4   3   4   5   6   7   8   9   3   2   3   4   5   6   7   8   2   1   2   3   4   5   6   7   1   0   1   2   3   4   5   6   2   1   2   3   4   5   6   7 
  5   4   3   4   5   6   7   8   4   3   2   3   4   5   6   7   3   2   1   2   3   4   5   6   2   1   0   1   2   3   4   5   3   2   1   2   3   4   5   6 
  6   5   4   3   4   5   6   7   5   4   3   2   3   4   5   6   4   3   2   1   2   3   4   5   3   2   1   0   1   2   3   4   4   3   2   1   2   3   4   5 
  7   6   5   4   3   4   5   6   6   5   4   3   2   3   4   5   5   4   3   2   1   2   3   4   4   3   2   1   0   1   2   3   5   4   3   2   1   2   3   4 
  8   7   6   5   4   3   4   5   7   6   5   4   3   2   3   4   6   5   4   3   2   1   2   3   5   4   3   2   1   0   1   2   6   5   4   3   2   1   2   3 
  9   8   7   6   5   4   3   4   8   7   6   5   4   3   2   3   7   6   5   4   3   2   1   2   6   5   4   3   2   1   0   1   7   6   5   4   3   2   1   2 
 10   9   8   7   6   5   4   3   9   8   7   6   5   4   3   2   8   7   6   5   4   3   2   1   7   6   5   4   3   2   1   0   8   7   6   5   4   3   2   1 
  4   5   6   7   8   9  10  11   3   4   5   6   7   8   9  10   2   3   4   5   6   7   8   9   1   2   3   4   5   6   7   8   0   1   2   3   4   5   6   7 
  5   4   5   6   7   8   9  10   4   3   4   5   6   7   8   9   3   2   3   4   5   6   7   8   2   1   2   3   4   5   6   7   1   0   1   2   3   4   5   6 
  6   5   4   5   6   7   8   9   5   4   3   4   5   6   7   8   4   3   2   3   4   5   6   7   3   2   1   2   3   4   5   6   2   1   0   1   2   3   4   5 
  7   6   5   4   5   6   7   8   6   5   4   3   4   5   6   7   5   4   3   2   3   4   5   6   4   3   2   1   2   3   4   5   3   2   1   0   1   2   3   4 
  8   7   6   5   4   5   6   7   7   6   5   4   3   4   5   6   6   5   4   3   2   3   4   5   5   4   3   2   1   2   3   4   4   3   2   1   0   1   2   3 
  9   8   7   6   5   4   5   6   8   7   6   5   4   3   4   5   7   6   5   4   3   2   3   4   6   5   4   3   2   1   2   3   5   4   3   2   1   0   1   2 
 10   9   8   7   6   5   4   5   9   8   7   6   5   4   3   4   8   7   6   5   4   3   2   3   7   6   5   4   3   2   1   2   6   5   4   3   2   1   0   1 
 11  10   9   8   7   6   5   4  10   9   8   7   6   5   4   3   9   8   7   6   5   4   3   2   8   7   6   5   4   3   2   1   7   6   5   4   3   2   1   0 

