20

 0 79 32 57 68 99 97 80 90 10 11 49 38 87 70 76 89 28 27 10
79  0 96 62 55 11 79 17 28 88 62 32 34  4  5 34 57 86 81  3
32 96  0 89 21 33  4 26 75 78 22 45 94 31 42 67 42 63  7 21
57 62 89  0 23 57 68 66 32 15 12 69 34 74 25 44 81 74 84 24
68 55 21 23  0 33 84 54 95  5 15 10 81  3 51 85 63 23 13 52
99 11 33 57 33  0 14 86 29 53 97 75 19 53 23 95 99  0 43 58
97 79  4 68 84 14  0 95 74 15 85 56 43 20 14 36 86 58  2 14
80 17 26 66 54 86 95  0 34 38 79 27 21 43  6 85 77 69 49 21
90 28 75 32 95 29 74 34  0 22 80 43 14 13 92 22  5 75 37 90
10 88 78 15  5 53 15 38 22  0 41 20 14 49 42 75 73 18  1 56
11 62 22 12 15 97 85 79 80 41  0 55 29  9 78 73 34 92  6 27
49 32 45 69 10 75 56 27 43 20 55  0 86 24 88 97 67 78 56 90
38 34 94 34 81 19 43 21 14 14 29 86  0 87 62 11 63 73 79 93
87  4 31 74  3 53 20 43 13 49  9 24 87  0 46 66 50  1 15 36
70  5 42 25 51 23 14  6 92 42 78 88 62 46  0 69 72  2 40 43
76 34 67 44 85 95 36 85 22 75 73 97 11 66 69  0 87 82 54 18
89 57 42 81 63 99 86 77  5 73 34 67 63 50 72 87  0 80 74 90
28 86 63 74 23  0 58 69 75 18 92 78 73  1  2 82 80  0 14 63
27 81  7 84 13 43  2 49 37  1  6 56 79 15 40 54 74 14  0 12
10  3 21 24 52 58 14 21 90 56 27 90 93 36 43 18 90 63 12  0

 0 78 22 43 86  8 99  5 32 89 19 69 33 89 46 66 57  7 17 26
78  0  2 81 24 83 92 36 31 73 96  5 57  2 39 29 26 58 45 80
22  2  0 38 50 32 66 73  6  8 68 16 21  1 70 17 54 17 50 20
43 81 38  0 53 75 40  8 63 30 30 10 47 36 34 37 33 36 78 92
86 24 50 53  0 41 29 68 52 83 51 52 57 75 10 37 98 42 58 14
 8 83 32 75 41  0 68 44  0 56 82 23 84 90  8  4 63 69 75 65
99 92 66 40 29 68  0 46 64 79  4 64 85 99 29  1 39 80 94 93
 5 36 73  8 68 44 46  0 74 19 56 34 11 54 52 75  3 28  6 74
32 31  6 63 52  0 64 74  0  2 14 95 81 98 15 64 31 92 26 77
89 73  8 30 83 56 79 19  2  0 43 49 80 71 35 60 88 52 18 50
19 96 68 30 51 82  4 56 14 43  0  8 74 53 61 66 57 88 26 62
69  5 16 10 52 23 64 34 95 49  8  0 19 21 10  6 53 56 58 37
33 57 21 47 57 84 85 11 81 80 74 19  0  6 65 85 59 57  0 46
89  2  1 36 75 90 99 54 98 71 53 21  6  0 61 96 58  8 17 43
46 39 70 34 10  8 29 52 15 35 61 10 65 61  0 42 93 61 78 90
66 29 17 37 37  4  1 75 64 60 66  6 85 96 42  0 79 21 95  3
57 26 54 33 98 63 39  3 31 88 57 53 59 58 93 79  0 61 60 20
 7 58 17 36 42 69 80 28 92 52 88 56 57  8 61 21 61  0 80 39
17 45 50 78 58 75 94  6 26 18 26 58  0 17 78 95 60 80  0 80
26 80 20 92 14 65 93 74 77 50 62 37 46 43 90  3 20 39 80  0

